example_id,linked_calculator_ids,linked_public_ids,book_chapters,book_example_numbers,calculation_link_count,review_statuses,discrepancy_statuses
AGREE-EX-B-001,"AGREE-SS-B-001, AGREE-SS-B-002","AGREE-B-001, AGREE-B-002",20,20.1,2,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,MATCH
AGREE-EX-B-002,AGREE-SS-B-003,AGREE-B-003,20,20.2,1,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,MATCH
AGREE-EX-B-003,"AGREE-SS-B-003, AGREE-SS-B-004, AGREE-SS-B-005, AGREE-SS-B-006","AGREE-B-003, AGREE-B-004, AGREE-B-005, AGREE-B-006",20,20.3,4,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,MATCH
AGREE-EX-C-001,AGREE-SS-C-002,AGREE-C-002,20,20.5,1,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,MATCH
AGREE-EX-C-002,AGREE-SS-C-001,AGREE-C-001,20,20.6,3,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,MATCH
AGREE-EX-C-003,AGREE-SS-C-003,AGREE-C-003,20,20.7,3,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,MATCH
AGREE-EX-C-004,AGREE-SS-C-003,AGREE-C-003,20,20.8,5,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,MATCH
AGREE-EX-N-001,AGREE-SS-N-001,AGREE-N-001,20,20.4,3,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,MATCH
CI-EX-B-001,"CI-SS-B-001, CI-SS-B-003","CI-B-001, CI-B-003",9,9.1,5,"CURATED_LEGACY_RECORD, ENGINE_REPRODUCED_FROM_FIXED_FIXTURE","MATCH, ROUNDING_DIFFERENCE"
CI-EX-B-002,"CI-SS-B-002, CI-SS-B-003","CI-B-002, CI-B-003",9,9.2,5,"CURATED_LEGACY_RECORD, ENGINE_REPRODUCED_FROM_FIXED_FIXTURE","MATCH, SOURCE_INCONSISTENCY"
CI-EX-B-003,CI-SS-B-003,CI-B-003,9,9.3,2,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,ROUNDING_DIFFERENCE
CI-EX-B-004,"CI-SS-B-002, CI-SS-B-004","CI-B-002, CI-B-004",9,9.4,4,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,"MATCH, ROUNDING_DIFFERENCE"
CI-EX-B-005,"CI-SS-B-005, CI-SS-B-006","CI-B-005, CI-B-006",9,9.5,7,"CURATED_LEGACY_RECORD, ENGINE_REPRODUCED_FROM_FIXED_FIXTURE",MATCH
CI-EX-B-006,CI-SS-B-007,CI-B-007,9,9.6,1,CURATED_LEGACY_RECORD,MATCH
CI-EX-B-007,CI-SS-B-008,CI-B-008,9,9.7,6,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,MATCH
CI-EX-C-001,"CI-SS-C-001, CI-SS-C-002","CI-C-001, CI-C-002",9,9.8,8,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,MATCH
CI-EX-C-002,CI-SS-C-003,CI-C-003,9,9.9,6,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,"MATCH, ROUNDING_DIFFERENCE"
CI-EX-C-003,CI-SS-C-004,CI-C-004,9,9.10,2,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,SOURCE_INCONSISTENCY
CORR-EX-C-001,CORR-SS-C-001,CORR-C-001,19,19.1,1,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,MATCH
CORR-EX-C-002,CORR-SS-C-001,CORR-C-001,19,19.2,2,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,"MATCH, ROUNDING_DIFFERENCE"
CORR-EX-C-003,CORR-SS-C-001,CORR-C-001,19,19.3,6,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,ROUNDING_DIFFERENCE
CORR-EX-C-004,CORR-SS-C-001,CORR-C-001,19,19.4,1,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,MATCH
CORR-EX-C-005,"CORR-SS-C-002, CORR-SS-C-003","CORR-C-002, CORR-C-003",19,19.5,4,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,MATCH
CORR-EX-C-006,"CORR-SS-C-004, CORR-SS-C-005","CORR-C-004, CORR-C-005",19,19.6,5,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,"MATCH, ROUNDING_DIFFERENCE, SOURCE_INCONSISTENCY"
DIAG-EX-B-001,"DIAG-SS-B-001, DIAG-SS-B-002","DIAG-B-001, DIAG-B-002",21,21.3,2,ENGINE_REPRODUCED_FROM_FIXED_FIXTURE,ENGINE_REPRODUCED
