calculator_id,requested_output,catalog_procedure_id,engine_procedure_id,engine_model_id,engine_calculation_target,procedure_key,available,example_ids,book_chapters,book_example_numbers
AGREE-SS-B-001,required_sample_size,AGREE-B-001,AGREE-001.SAMPLE_SIZE,AGREE-001,required_sample_size,ss200-proc-5b6a8990cbc055f2,true,AGREE-EX-B-001,20,20.1
AGREE-SS-B-002,required_sample_size,AGREE-B-002,AGREE-002.SAMPLE_SIZE,AGREE-002,required_sample_size,ss200-proc-0604c81b3b1957d4,true,AGREE-EX-B-001,20,20.1
AGREE-SS-B-003,required_sample_size,AGREE-B-003,AGREE-003.SAMPLE_SIZE,AGREE-003,required_sample_size,ss200-proc-3b77f5e9ade75d96,true,AGREE-EX-B-002; AGREE-EX-B-003,20,20.2; 20.3
AGREE-SS-B-004,required_sample_size,AGREE-B-004,AGREE-004.SAMPLE_SIZE,AGREE-004,required_sample_size,ss200-proc-9ebfe1a3fd9c5962,true,AGREE-EX-B-003,20,20.3
AGREE-SS-B-005,required_sample_size,AGREE-B-005,AGREE-005.SAMPLE_SIZE,AGREE-005,required_sample_size,ss200-proc-9320880d63df5ee7,true,AGREE-EX-B-003,20,20.3
AGREE-SS-B-006,required_sample_size,AGREE-B-006,AGREE-006.SAMPLE_SIZE,AGREE-006,required_sample_size,ss200-proc-1275607ab02857f4,true,AGREE-EX-B-003,20,20.3
AGREE-SS-C-001,required_sample_size,AGREE-C-001,AGREE-008.SAMPLE_SIZE,AGREE-008,required_sample_size,ss200-proc-ba3729c665b65fc6,true,AGREE-EX-C-002,20,20.6
AGREE-SS-C-002,required_sample_size,AGREE-C-002,AGREE-009.SAMPLE_SIZE,AGREE-009,required_sample_size,ss200-proc-d801edcb79a75341,true,AGREE-EX-C-001,20,20.5
AGREE-SS-C-003,required_sample_size,AGREE-C-003,AGREE-010.SAMPLE_SIZE,AGREE-010,required_sample_size,ss200-proc-17d46aa42a8e5de3,true,AGREE-EX-C-003; AGREE-EX-C-004,20,20.7; 20.8
AGREE-SS-N-001,required_sample_size,AGREE-N-001,AGREE-007.SAMPLE_SIZE,AGREE-007,required_sample_size,ss200-proc-a1d9cf789f0a5b2b,true,AGREE-EX-N-001,20,20.4
